id,csdbId,name,status,category,subcategory,address
Csdb__ScamDomains__3289c5,3289c5,spacexdropx.com,,Scamming,Trust-Trading,
Csdb__ScamDomains__eae23a,eae23a,dropelon.co,,Scamming,Trust-Trading,
Csdb__ScamDomains__e38ac2,e38ac2,fxoption27.com,,Scamming,Exchange,
Csdb__ScamDomains__d0a26f,d0a26f,lcon.foundation,,Scamming,Icon,
Csdb__ScamDomains__4bfb5b,4bfb5b,wallet.fantom.link,,Scamming,Fantom,
Csdb__ScamDomains__31ecb8,31ecb8,coinphant.com,,Scamming,Exchange,
Csdb__ScamDomains__febb5b,febb5b,fulcrum.codes,,Phishing,Fulcrum,
Csdb__ScamDomains__f5a9bb,f5a9bb,coinbiz.me,,Scamming,Exchange,
Csdb__ScamDomains__e3320f,e3320f,paxfulc.com,,Phishing,Paxful,
Csdb__ScamDomains__6584b7,6584b7,paxfuloffers.com,,Phishing,Paxful,
Csdb__ScamDomains__771582,771582,paxful-com-login.oauth-deriv-binary.website,,Phishing,Paxful,
Csdb__ScamDomains__047332,047332,chainlinktoken.info,,Phishing,Chainlink,
Csdb__ScamDomains__50168f,50168f,ripple.com.bz,,Phishing,Ripple,
Csdb__ScamDomains__731f35,731f35,fulcrum.plus,,Phishing,Fulcrum,
Csdb__ScamDomains__b8c16f,b8c16f,avubit.com,,Scamming,Exchange,
Csdb__ScamDomains__11110d,11110d,linkcoinairdrop.com,,Phishing,Chainlink,
Csdb__ScamDomains__4916f0,4916f0,myrthesrvvelltni.com,,Phishing,MyEtherWallet,
Csdb__ScamDomains__b695cd,b695cd,growbitcoin.co.uk,,Scamming,Ponzi,
Csdb__ScamDomains__7edfa0,7edfa0,get2xcoin.com,,Scamming,Trust-Trading,
Csdb__ScamDomains__ff224f,ff224f,oldetherwallet.com,,Phishing,MyEtherWallet,
Csdb__ScamDomains__f18e0e,f18e0e,mydashwallets.com,,Phishing,Wallet,
